# rt10_trade_log.csv — ResoTrade Walk-Forward Backtest
# Generated: 2026-08-06T10:01:27.280829Z UTC
# Source: ResoTrade backtest_engine.py (RT-10)
# Falsification criterion: vs_hodl > 0 in all folds (M-5)
fold_id,step,timestamp,action,price,pv,epsilon,phase,trend,cash,asset
0,50,2024-01-16 23:00:00+00:00,HOLD,30238.652652873247,1000.0,0.7500000000000001,transition,downtrend,1000.0,0.0
0,51,2024-01-17 00:00:00+00:00,BUY,30175.568835699833,1000.0,1.0,trough,downtrend,850.0,0.004970908777783814
0,52,2024-01-17 01:00:00+00:00,HOLD,30275.65898036661,1000.4975389786937,0.7500000000000001,transition,downtrend,850.0,0.004970908777783814
0,53,2024-01-17 02:00:00+00:00,HOLD,30259.372561518267,1000.4165806762819,0.7500000000000001,transition,downtrend,850.0,0.004970908777783814
0,54,2024-01-17 03:00:00+00:00,HOLD,30437.23188984291,1001.3007031726615,0.7500000000000001,transition,downtrend,850.0,0.004970908777783814
0,55,2024-01-17 04:00:00+00:00,HOLD,30241.724628228127,1000.3288544097802,0.7500000000000001,transition,downtrend,850.0,0.004970908777783814
0,56,2024-01-17 05:00:00+00:00,BUY,29955.962595440353,998.908357412638,1.0,trough,downtrend,722.5,0.009227156581331513
0,57,2024-01-17 06:00:00+00:00,BUY,29856.310777717314,997.9888544868933,1.0,trough,downtrend,614.125,0.012857042430486177
0,58,2024-01-17 07:00:00+00:00,HOLD,30024.328620642333,1000.149067022459,1.0,trough,downtrend,614.125,0.012857042430486177
0,59,2024-01-17 08:00:00+00:00,HOLD,29728.335425292735,996.343469950714,1.0,trough,downtrend,614.125,0.012857042430486177
0,60,2024-01-17 09:00:00+00:00,HOLD,30197.980517845477,1002.3817168329342,0.7500000000000001,transition,downtrend,614.125,0.012857042430486177
0,61,2024-01-17 10:00:00+00:00,HOLD,30121.53897181902,1001.3989046322201,1.0,trough,downtrend,614.125,0.012857042430486177
0,62,2024-01-17 11:00:00+00:00,HOLD,29921.785412384077,998.8306646429244,1.0,trough,downtrend,614.125,0.012857042430486177
0,63,2024-01-17 12:00:00+00:00,HOLD,29808.659702770285,997.376202594441,1.0,trough,downtrend,614.125,0.012857042430486177
0,64,2024-01-17 13:00:00+00:00,HOLD,30365.82951536818,1004.5397585159982,0.7500000000000001,transition,downtrend,614.125,0.012857042430486177
0,65,2024-01-17 14:00:00+00:00,HOLD,30262.142880702413,1003.2066550546261,0.7500000000000001,transition,downtrend,614.125,0.012857042430486177
0,66,2024-01-17 15:00:00+00:00,HOLD,30595.212872522352,1007.4889500717768,0.7500000000000001,transition,downtrend,614.125,0.012857042430486177
0,67,2024-01-17 16:00:00+00:00,HOLD,30307.246012694617,1003.7865479363977,0.7500000000000001,transition,downtrend,614.125,0.012857042430486177
0,68,2024-01-17 17:00:00+00:00,HOLD,30592.42415768411,1007.4530954467749,0.7500000000000001,transition,downtrend,614.125,0.012857042430486177
